id,Age,Attrition,BusinessTravel,DailyRate,Department,Education,JobRole,DistanceFromHome,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,WorkLifeBalance
12464,44,Yes,Non-Travel,498,S,a,l,4,4,M,47,3,2,4,Married,9699,10243,3,Y,No,8,2,80,3
12465,49,Yes,Non-Travel,494,R,e,s,4,4,M,50,3,3,5,Married,10354,11058,3,Y,Yes,17,2,80,3
12466,44,No,Non-Travel,498,S,a,l,1,3,M,48,3,3,2,Married,9510,10365,3,Y,No,11,4,80,3
12467,49,No,Non-Travel,495,S,a,l,4,3,M,52,2,1,5,Married,10004,8611,2,Y,No,9,4,80,3
12468,42,No,Non-Travel,516,T,e,c,4,4,F,48,2,1,4,Married,9113,8785,3,Y,No,10,2,40,3
12469,45,No,Non-Travel,504,T,e,c,2,2,M,49,3,2,3,Single,10562,11222,2,Y,Yes,8,1,80,1
12470,40,No,Non-Travel,496,S,a,l,6,2,M,50,3,3,4,Divorced,9439,10266,1,,No,11,3,80,3
12471,47,No,Non-Travel,506,R,e,s,6,3,F,52,4,3,5,Single,10513,11704,2,Y,No,15,1,80,1
12472,66,No,Non-Travel,498,T,e,c,3,3,M,49,4,2,5,Married,10814,9228,3,Y,No,3,3,80,3
12473,42,No,Travel_Rarely,509,T,e,c,7,3,F,50,3,2,3,Divorced,9759,11320,3,Y,Yes,7,2,80,3
12474,62,No,Non-Travel,491,S,a,l,1,3,F,47,4,3,5,Married,10525,10868,2,Y,Yes,13,2,80,3
12475,41,No,Non-Travel,504,S,a,l,7,3,M,49,4,3,2,Married,10236,9000,1,,No,4,3,80,2
12476,49,No,Non-Travel,499,S,a,l,1,4,F,48,2,3,2,Divorced,11535,9240,4,Y,Yes,6,3,80,3
12477,34,No,Non-Travel,508,S,a,l,7,4,F,52,3,1,4,Married,10483,9065,3,Y,Yes,11,1,80,3
12478,43,No,Non-Travel,492,T,e,c,6,3,M,50,4,3,5,Married,10256,9595,2,Y,No,10,2,80,4
12479,42,No,Travel_Frequently,499,R,e,s,4,3,M,54,2,3,4,Single,11018,10172,4,Y,No,4,3,80,3
12480,39,Yes,Non-Travel,500,S,a,l,5,3,M,51,3,1,4,Married,9903,9830,3,Y,No,2,3,80,3
12481,47,No,Non-Travel,499,S,a,l,5,3,M,55,4,3,2,Married,13702,9868,2,Y,No,7,1,80,4
12482,45,No,Non-Travel,489,R,e,s,3,4,M,45,2,3,3,Married,11753,10260,3,Y,No,8,3,80,1
12483,39,No,Non-Travel,492,S,a,l,3,4,F,49,2,3,2,Divorced,10708,10329,3,Y,No,20,3,80,3
12484,45,No,Non-Travel,510,T,e,c,3,4,F,48,5,3,5,Single,9579,9901,2,Y,Yes,10,2,80,3
12485,36,No,Non-Travel,507,S,a,l,5,4,F,49,4,3,3,Married,10910,10183,2,Y,No,14,1,80,3
12486,37,No,Travel_Rarely,502,R,e,s,6,3,F,48,4,1,5,Single,10887,11344,3,Y,No,5,2,80,3
12487,41,No,Non-Travel,504,R,e,s,5,3,M,47,2,1,3,Married,10056,10461,4,Y,No,2,4,80,3
12488,49,No,Non-Travel,485,S,a,l,3,3,F,52,3,1,3,Divorced,8977,8304,1,Y,No,12,1,80,3
12489,55,No,Non-Travel,504,S,a,l,3,5,M,51,4,1,5,Married,10957,9864,3,Y,No,11,3,80,3
12490,39,No,Non-Travel,499,S,a,l,4,4,M,45,4,3,4,Married,8339,10488,1,Y,Yes,24,3,80,2
12491,46,No,Travel_Frequently,508,T,e,c,3,4,M,50,4,3,5,Married,10344,10491,3,Y,Yes,17,4,80,1
12492,37,No,Non-Travel,486,S,a,l,5,3,M,50,2,2,4,Divorced,11055,10743,3,Y,No,13,2,80,2
12493,63,No,Non-Travel,513,T,e,c,4,4,M,47,3,2,4,Married,10378,12173,2,Y,No,28,3,80,3
12494,34,Yes,Non-Travel,501,S,a,l,6,2,F,50,3,3,5,Married,10480,10636,2,Y,No,16,2,80,4
12495,65,No,Non-Travel,468,R,e,s,3,2,M,52,4,3,3,Divorced,10114,10507,1,Y,No,16,2,80,4
12496,49,No,Travel_Rarely,505,S,a,l,3,4,F,49,4,2,5,Divorced,10841,11121,2,Y,No,18,2,80,3
12497,27,No,Non-Travel,490,T,e,c,6,5,F,52,4,2,4,Married,10071,11310,1,Y,No,3,4,80,2
12498,31,No,Travel_Rarely,490,S,a,l,4,3,M,49,5,2,3,Married,9458,11081,1,Y,No,0,2,80,1
12499,54,No,Non-Travel,518,R,e,s,3,4,F,48,4,2,2,Single,8903,9831,4,Y,No,4,4,80,4
12500,26,No,Non-Travel,496,R,e,s,4,4,M,48,4,2,5,Single,11491,9341,1,Y,No,12,1,80,1
12501,46,No,Non-Travel,507,S,a,l,5,5,M,51,4,3,5,Married,9721,8662,3,Y,No,11,2,80,4
12502,47,No,Non-Travel,510,T,e,c,1,3,F,49,5,2,4,Single,9306,10615,2,Y,No,14,1,80,4
12503,44,No,Non-Travel,502,S,a,l,5,4,F,50,3,1,4,Married,10309,9011,2,Y,No,20,2,80,2
12504,30,No,Non-Travel,505,S,a,l,4,2,F,49,2,3,2,Married,11082,9588,4,Y,Yes,1,3,80,1
12505,42,No,Non-Travel,514,T,e,c,5,4,M,47,2,1,3,Married,10984,10284,3,Y,No,5,2,80,2
12506,45,No,Non-Travel,505,R,e,s,4,3,F,50,4,1,3,Single,11008,8982,2,Y,Yes,7,3,80,2
12507,51,No,Non-Travel,486,T,e,c,0,3,F,52,2,1,5,Married,10197,11066,1,Y,No,8,3,80,2
12508,42,No,Non-Travel,518,S,a,l,4,5,M,51,2,1,5,Divorced,11403,9428,2,Y,Yes,20,3,80,2
12509,41,No,Travel_Frequently,506,R,e,s,9,3,F,54,4,1,3,Divorced,7821,9516,3,Y,No,7,3,80,2
12510,43,No,Non-Travel,499,R,e,s,9,4,F,47,4,2,4,Divorced,8851,9951,4,Y,No,7,1,80,3
12511,28,No,Non-Travel,490,T,e,c,5,4,M,50,4,3,3,Divorced,11529,9887,1,Y,No,15,1,80,2
12512,44,No,Non-Travel,509,S,a,l,6,2,F,51,2,2,5,Single,10921,10362,3,Y,No,18,2,80,1
12513,39,No,Non-Travel,487,R,e,s,4,4,F,52,3,1,3,Married,9694,9435,5,Y,No,6,4,80,3
12514,39,No,Non-Travel,517,T,e,c,1,4,F,48,5,2,3,Divorced,9038,9637,3,Y,No,9,2,80,1
12515,38,No,Non-Travel,504,T,e,c,5,4,F,47,3,2,5,Divorced,10165,11292,2,Y,No,2,2,80,2
12516,32,No,Non-Travel,489,R,e,s,6,3,F,51,2,3,4,Divorced,10885,9868,3,Y,No,15,2,80,3
12517,40,No,Non-Travel,497,T,e,c,5,5,M,50,4,3,3,Married,8903,10205,2,Y,No,7,4,80,3
12518,18,No,Non-Travel,510,T,e,c,3,2,M,47,4,3,4,Single,10553,9692,2,Y,No,0,2,80,4
12519,63,No,Non-Travel,516,S,a,l,6,2,F,51,2,3,5,Married,10882,8799,3,Y,No,6,3,80,1
12520,48,No,Non-Travel,511,S,a,l,4,3,F,51,3,1,2,Married,11347,9411,3,Y,No,13,3,80,2
12521,46,No,Non-Travel,495,R,e,s,1,4,M,49,5,1,5,Married,8791,10654,3,Y,No,13,2,80,3
12522,38,No,Travel_Rarely,505,R,e,s,4,3,M,49,2,1,2,Married,9550,10482,3,Y,No,4,1,80,2
12523,55,No,Non-Travel,479,R,e,s,5,2,M,50,3,1,5,Married,10413,9877,3,Y,Yes,3,3,80,1
12524,39,No,Non-Travel,480,S,a,l,4,2,M,53,2,2,4,Divorced,11275,11061,3,Y,No,13,2,80,3
12525,30,No,Non-Travel,484,S,a,l,6,3,F,52,4,1,5,Married,10129,10192,3,Y,No,18,2,80,4
12526,41,Yes,Non-Travel,511,R,e,s,5,4,M,50,2,2,5,Divorced,10357,11235,3,Y,Yes,10,2,80,2
12527,45,No,Non-Travel,501,S,a,l,3,3,F,48,4,3,3,Married,9067,9588,3,Y,Yes,12,3,80,3
12528,35,Yes,Non-Travel,496,R,e,s,4,4,F,51,4,3,4,Married,8317,9552,4,N,No,19,1,80,3
12529,50,No,Non-Travel,512,R,e,s,2,4,M,50,4,1,5,Married,10429,9687,1,Y,Yes,11,2,80,3
12530,51,Yes,Non-Travel,489,T,e,c,3,2,F,47,3,1,4,Married,9670,10869,2,N,Yes,13,2,80,3
12531,51,No,Non-Travel,484,R,e,s,5,3,F,50,2,2,3,Married,10877,9981,4,Y,Yes,14,2,80,3
12532,45,No,Non-Travel,509,S,a,l,5,3,F,47,5,2,5,Married,10457,12238,3,Y,No,11,2,80,3
12533,38,No,Non-Travel,501,R,e,s,5,2,M,50,3,3,3,Divorced,8566,9446,4,Y,No,7,1,80,3
12534,33,No,Non-Travel,513,T,e,c,2,4,M,50,2,2,5,Married,10825,9372,2,Y,No,13,2,80,3
12535,50,Yes,Non-Travel,501,T,e,c,6,3,F,49,3,3,4,Married,9703,10783,1,Y,Yes,12,1,80,2
12536,34,No,Non-Travel,495,S,a,l,7,4,F,50,4,3,5,Married,10366,9503,1,Y,Yes,11,4,80,3
12537,35,No,Non-Travel,495,R,e,s,5,2,F,51,3,3,3,Single,10806,9875,3,Y,Yes,20,3,80,3
12538,36,No,Non-Travel,488,S,a,l,3,3,F,51,2,2,5,Single,8463,10162,1,Y,Yes,3,3,80,1
12539,33,No,Non-Travel,510,S,a,l,4,4,M,53,3,2,3,Divorced,8959,9952,2,Y,No,9,2,80,3
12540,20,No,Non-Travel,509,T,e,c,5,2,F,46,4,2,2,Married,9915,6696,3,Y,No,24,3,80,3
12541,28,Yes,Non-Travel,509,S,a,l,4,2,M,48,3,1,4,Single,9509,8670,3,Y,No,19,3,80,4
12542,33,No,Travel_Frequently,507,T,e,c,5,4,F,49,4,2,5,Married,10490,9959,4,Y,No,5,4,80,3
12543,60,No,Travel_Rarely,515,T,e,c,3,4,F,45,3,1,4,Married,9607,10334,1,Y,Yes,11,3,80,3
12544,34,No,Non-Travel,494,S,a,l,4,3,F,48,4,3,5,Divorced,10458,9746,3,Y,No,13,2,80,2
12545,44,Yes,Non-Travel,486,T,e,c,8,4,F,50,4,3,5,Married,9349,8531,2,Y,No,10,2,80,3
12546,46,No,Non-Travel,502,T,e,c,8,4,F,51,2,3,4,Married,10047,9674,2,Y,No,21,2,80,3
12547,39,No,Non-Travel,498,T,e,c,4,2,M,52,2,2,4,Married,9968,10258,3,Y,No,14,2,80,3
12548,58,No,Non-Travel,497,T,e,c,6,2,F,50,5,3,3,Married,10579,9671,3,Y,Yes,5,2,80,3
12549,26,No,Non-Travel,517,T,e,c,5,5,M,48,2,1,2,Married,10027,8151,3,Y,No,12,1,80,3
12550,35,No,Non-Travel,508,R,e,s,9,4,F,51,4,3,4,Married,11592,9599,2,Y,No,9,1,80,4
12551,40,Yes,Travel_Rarely,508,R,e,s,3,2,F,47,3,3,2,Single,8879,9850,3,,No,14,2,80,2
12552,55,No,Travel_Frequently,504,T,e,c,8,4,F,51,2,1,3,Married,9883,9646,3,Y,Yes,1,3,80,4
12553,16,No,Non-Travel,525,T,e,c,3,3,M,49,2,3,5,Divorced,10389,10973,2,Y,Yes,5,3,80,3
12554,47,No,Non-Travel,487,R,e,s,3,3,F,49,2,2,4,Divorced,10541,10748,2,Y,No,1,1,80,3
12555,46,No,Non-Travel,507,S,a,l,5,3,F,52,3,2,5,Divorced,10139,10100,2,Y,No,6,1,80,3
12556,42,No,Non-Travel,499,S,a,l,2,2,M,50,4,3,5,Married,9997,10865,2,Y,Yes,11,1,80,2
12557,34,Yes,Non-Travel,497,S,a,l,5,2,F,47,3,2,4,Married,8446,9434,2,Y,Yes,5,2,80,3
12558,33,No,Non-Travel,500,S,a,l,3,3,F,50,4,3,3,Married,8704,10267,1,Y,Yes,13,2,80,3
12559,47,No,Non-Travel,492,S,a,l,4,3,M,50,4,3,4,Married,10763,9155,3,Y,Yes,9,2,80,4
12560,45,Yes,Non-Travel,504,S,a,l,5,4,F,47,3,1,3,Married,11108,9030,4,Y,No,12,1,80,3
12561,38,No,Non-Travel,493,S,a,l,9,4,M,49,3,3,4,Married,11835,10337,5,Y,No,2,3,80,1
12562,46,Yes,Non-Travel,507,S,a,l,2,2,F,49,5,3,3,Married,8760,10232,3,Y,No,11,4,80,3
12563,39,No,Travel_Frequently,496,S,a,l,3,4,F,47,4,3,4,Married,9741,10200,2,Y,No,11,2,80,3
12564,48,No,Non-Travel,494,S,a,l,2,3,F,49,3,3,5,Married,11209,9178,1,Y,Yes,0,1,80,1
12565,52,No,Non-Travel,514,S,a,l,3,4,F,51,4,2,5,Single,11419,9494,1,Y,No,10,2,80,3
12566,39,No,Non-Travel,486,S,a,l,5,2,M,50,4,3,4,Married,9692,11587,1,Y,No,8,2,80,1
12567,50,No,Non-Travel,512,S,a,l,5,4,F,49,4,3,4,Divorced,8465,10913,3,Y,No,7,2,80,2
12568,47,No,Non-Travel,502,R,e,s,5,3,F,47,3,3,4,Married,13143,10514,2,Y,No,10,2,80,1
12569,48,No,Non-Travel,507,R,e,s,3,4,M,49,5,1,3,Married,9672,10083,4,Y,Yes,14,3,80,3
12570,39,No,Non-Travel,507,S,a,l,4,4,M,50,5,3,4,Married,9079,9655,3,Y,No,4,3,80,2
12571,45,No,Non-Travel,509,S,a,l,4,4,F,49,4,2,5,Married,8969,9347,3,N,No,8,4,80,3
12572,52,Yes,Non-Travel,507,S,a,l,3,2,M,48,3,3,4,Divorced,10681,10511,2,Y,Yes,18,2,80,1
12573,53,Yes,Non-Travel,502,R,e,s,3,2,F,50,3,1,2,Married,8626,8763,4,Y,No,6,4,80,4
12574,58,No,Non-Travel,518,T,e,c,5,2,F,50,3,3,5,Married,10085,9149,2,Y,No,4,2,80,2
12575,32,Yes,Non-Travel,498,S,a,l,8,3,F,50,3,1,2,Single,9869,10940,3,N,No,11,2,80,3
12576,52,No,Non-Travel,504,S,a,l,3,4,M,45,3,2,3,Married,8993,9822,2,Y,Yes,14,2,80,3
12577,36,Yes,Travel_Frequently,508,S,a,l,5,4,F,45,3,2,2,Married,10589,9633,3,Y,Yes,12,4,80,1
12578,36,No,Non-Travel,512,S,a,l,7,4,M,54,4,3,4,Single,8619,9944,5,Y,Yes,13,3,80,2
12579,46,No,Non-Travel,498,S,a,l,3,4,M,49,4,1,5,Married,10679,11027,3,N,Yes,12,3,80,2
12580,57,No,Non-Travel,493,R,e,s,7,3,F,48,4,2,2,Married,11090,9144,2,Y,Yes,12,3,80,2
12581,49,No,Travel_Frequently,510,S,a,l,1,3,F,48,3,2,5,Married,9996,9411,2,Y,Yes,8,3,80,2
12582,50,No,Non-Travel,503,T,e,c,4,3,F,52,3,2,4,Married,9535,10182,1,Y,No,9,2,80,1
12583,49,No,Non-Travel,504,T,e,c,6,3,F,49,4,2,5,Married,9251,11524,2,Y,No,7,2,80,3
12584,51,No,Travel_Frequently,466,T,e,c,1,2,F,48,4,3,2,Married,8280,11840,3,N,No,15,2,80,1
12585,46,Yes,Non-Travel,491,T,e,c,4,3,M,52,3,3,3,Divorced,10986,8758,4,Y,Yes,19,2,80,2
12586,42,Yes,Non-Travel,495,R,e,s,8,4,F,48,4,3,5,Married,9908,10962,3,Y,No,3,1,80,2
12587,53,No,Non-Travel,508,R,e,s,6,2,F,49,4,2,4,Divorced,12798,10801,3,Y,No,12,2,80,3
12588,38,No,Non-Travel,506,T,e,c,2,3,M,49,2,3,5,Married,10893,11074,2,Y,No,10,3,80,2
12589,30,No,Travel_Rarely,481,T,e,c,8,3,M,49,4,3,4,Married,10132,10240,4,Y,No,11,1,80,2
12590,30,Yes,Non-Travel,518,T,e,c,2,2,F,48,4,3,4,Married,11156,9353,3,N,No,12,3,40,3
12591,51,No,Non-Travel,506,S,a,l,2,3,F,49,4,2,2,Married,9184,9678,3,Y,No,5,1,80,3
12592,27,No,Travel_Rarely,513,T,e,c,6,4,M,51,3,2,4,Married,8845,10193,4,Y,No,12,2,80,2
12593,58,Yes,Non-Travel,495,R,e,s,3,4,F,46,4,3,3,Married,7691,10391,2,Y,No,12,1,80,3
12594,38,No,Travel_Rarely,498,S,a,l,2,2,M,52,3,3,3,Divorced,10201,9230,1,Y,No,17,1,80,3
12595,40,No,Travel_Frequently,499,S,a,l,7,2,M,51,3,2,2,Single,7858,9215,3,Y,No,19,1,80,2
12596,34,No,Non-Travel,494,R,e,s,4,4,M,48,3,1,4,Married,11584,10858,2,Y,No,7,3,80,3
12597,48,No,Non-Travel,503,R,e,s,7,2,M,49,3,3,3,Married,11199,11951,2,Y,Yes,13,3,80,2
12598,53,No,Non-Travel,485,S,a,l,3,2,M,49,4,1,2,Divorced,10410,11055,4,Y,No,3,3,80,3
